id,re_x,re_y
IS481_03040,2093.33,1087.0
IS481_03045,3478.5,666.17
IS481_03050,504.83,107.83
IS481_03055,1061.67,329.5
IS481_03060,4534.33,635.83
IS481_03065,2101.0,416.5
IS481_03070,3070.5,2065.83
IS481_03075,3921.83,2825.67
IS481_03080,5411.83,9457.33
IS481_03085,3463.67,1747.33
IS481_03090,436.5,441.83
IS481_03095,3691.17,1916.83
IS481_03100,1840.17,1002.17
IS481_03105,3784.83,2337.0
IS481_03110,5294.75,3468.25
IS481_03115,1893.5,1332.25
IS481_03120,2965.33,2224.0
IS481_03125,12478.25,6387.33
IS481_03130,3411.67,1489.17
IS481_03135,2871.83,1050.67
IS481_03140,328.5,268.0
IS481_03145,99.08,155.5
IS481_03150,167.33,221.67
IS481_03155,1463.33,1774.33
IS481_03160,353.5,334.17
IS481_03165,249.83,154.5
IS481_03170,299.5,232.83
IS481_03175,239.67,225.0
IS481_03180,1056.5,678.83
IS481_03185,202.33,156.83
IS481_03190,460.33,321.83
IS481_03195,635.08,438.67
IS481_03200,366.25,189.17
IS481_03205,287.33,153.33
IS481_03210,1683.17,1752.17
IS481_03215,2639.33,2873.17
IS481_03220,984.5,1084.5
IS481_03225,1606.33,1302.08
IS481_03230,5151.17,1623.17
IS481_03235,5822.83,6914.5
IS481_03240,3031.83,3950.83
IS481_03245,7551.33,332.33
IS481_03250,1846.5,1713.67
IS481_03255,4893.83,6386.33
IS481_03260,1125.0,1018.17
IS481_03265,416.5,560.17
IS481_03270,1078.92,1037.83
IS481_03275,4718.33,3894.5
IS481_03280,4625.33,2853.17
IS481_03285,8031.0,5463.83
IS481_03290,6119.83,5427.0
IS481_03295,1764.33,1343.0
IS481_03300,2527.17,2486.17
IS481_03305,6370.67,15739.0
IS481_03310,1264.0,1152.33
IS481_03315,3512.83,3582.83
IS481_03320,1290.03,1384.83
IS481_03325,1979.0,1586.67
IS481_03330,4372.42,3721.83
IS481_03335,2441.5,2494.83
IS481_03340,3938.83,3460.67
IS481_03345,4700.33,3933.5
IS481_03350,2671.0,2523.33
IS481_03355,5616.5,7077.67
IS481_03360,5367.33,5219.5
IS481_03365,10734.5,15265.17
IS481_03370,355.5,890.33
IS481_03375,3720.83,4416.83
IS481_03380,9873.5,10644.83
IS481_03385,1467.5,806.0
IS481_03390,7404.67,7253.17
IS481_03395,6775.67,48255.08
IS481_03400,4638.67,4664.42
IS481_03405,7949.0,5696.83
IS481_03410,18593.0,16809.75
IS481_03415,486.5,1216.83
IS481_03420,4305.08,3012.67
IS481_03425,1998.42,1210.67
IS481_03430,993.08,1239.25
IS481_03435,9580.75,9398.83
IS481_03440,2767.17,1996.17
IS481_03445,1962.0,1843.83
IS481_03450,6385.33,5621.83
IS481_03455,3510.33,3875.33
IS481_03460,2909.33,2321.5
IS481_03465,2328.67,1872.83
IS481_03470,3797.5,4080.0
IS481_03475,194.5,169.33
IS481_03480,5930.17,5241.33
IS481_03485,12058.33,13495.58
IS481_03490,18606.83,20703.5
IS481_03495,5658.5,8000.42
IS481_03500,9266.75,13290.58
IS481_03505,5814.5,9950.17
IS481_03510,23026.58,29586.25
IS481_03515,6475.0,5676.92
IS481_03520,14973.5,8518.58
IS481_03525,10791.83,6760.92
IS481_03530,2369.17,1799.83
IS481_03535,549.5,505.0
IS481_03540,25812.08,40431.0
IS481_03545,7155.83,12325.92
IS481_03550,11398.83,6526.0
IS481_03555,4879.5,3155.67
IS481_03560,4351.0,3101.67
IS481_03565,5062.17,4124.67
IS481_03570,6556.0,5466.75
IS481_03575,3438.5,2688.42
IS481_03580,3840.0,7140.67
IS481_03585,9281.0,14726.0
IS481_03590,5514.5,9555.67
IS481_03595,6947.33,15230.0
IS481_03600,3684.67,6362.0
IS481_03605,884.33,843.0
IS481_03610,939.5,672.33
IS481_03615,2801.33,2494.67
IS481_03620,4030.75,3070.5
IS481_03625,5315.53,5465.67
IS481_03630,4165.0,3756.5
IS481_03635,1616.83,1358.17
IS481_03640,4854.83,2935.0
IS481_03645,498.67,385.5
IS481_03650,1583.33,914.17
IS481_03655,5175.83,3278.7
IS481_03660,1850.75,5221.08
IS481_03665,10328.0,18549.67
IS481_03670,2011.17,2008.67
IS481_03675,1241.67,1539.33
IS481_03680,3431.33,5949.08
IS481_03685,12298.17,11517.0
IS481_03690,1044.33,697.33
IS481_03695,8206.33,11366.5
IS481_03700,6406.17,9978.33
IS481_03705,10304.33,16227.17
IS481_03710,5310.33,7478.0
IS481_03715,5805.17,7478.0
